mzp mdm gg ww tt bb 
1995 1000 False True False True
200 150 True True True True
200 1 True True True True
250 150 True True True True
250 20 True True True True
250 175 True True True True
450 70 True True True True
400 100 True False False True
250 45 True True True True
450 35 True True True True
500 25 True True True True
250 40 True True True True
450 60 True True True True
500 35 True True True True
450 25 True True True True
450 45 True True True True
250 15 True True True True
450 90 True True True True
600 10 True True True True
600 50 True True True True
600 25 True True True True
600 125 True True True True
600 100 True False False True
600 45 True True True True
600 80 True True True True
700 70 True True True True
700 80 True True True True
600 60 True True True True
700 90 True True True True
600 5 True True True True
1100 575 True True True True
1100 275 True True True True
800 1 True True True True
1100 225 True True True True
600 30 True True True True
1200 60 True True True True
1200 70 True True True True
1200 375 True True True True
1200 325 True True True True
2000 925 True True True True
1200 300 True True True True
1200 625 True False True True
2000 175 True True True True
1200 350 True True True True
2000 90 True True True True
2000 900 True True True True
2000 80 True True True True
2000 100 True True True True
2000 40 True True True True
1200 400 True True True True
2000 50 True True True True
2000 975 True True True True
2000 15 True True True True
2000 20 True True True True
2000 575 True True True True
400 225 True True True True
600 275 True True True True
250 100 True True True True
700 150 True True True True
600 175 True True True True
450 250 True True True True
500 300 True True True True
700 250 True True True True
800 275 True True True True
800 450 True True True True
400 125 True True True True
700 175 True True True True
700 225 True True True True
700 300 True True True True
600 225 True True True True
800 325 True True True True
800 225 True True True True
600 200 True True True True
900 100 True True True True
800 125 True False False True
600 250 True True True True
450 125 True True True True
800 375 True True True True
900 150 True True True True
550 225 True True True True
800 200 True True True True
900 200 True True True True
900 325 True True True True
900 400 True True True True
550 150 True True True True
550 250 True True True True
900 275 True True True True
1100 475 True True True True
900 250 True True True True
1000 300 True True True True
1000 1 True True True True
1100 1 True True True True
1200 1 True True True True
1000 550 True True True True
900 525 True True True True
1000 225 True True True True
1100 600 True True True True
1000 325 True True True True
1100 525 True True True True
1000 525 True True True True
900 550 True True True True
1400 325 True True True True
1000 450 True True True True
1000 475 True True True True
1400 550 True True True True
1400 375 True True True True
1000 350 True True True True
1400 425 True True True True
1000 275 True True True True
1400 300 True True True True
900 500 True True True True
700 100 True True True True
10 1 True True True True
10 10 True True True True
15 10 False True False True
50 10 True True True True
95 50 False True False True
100 1 True True True True
100 10 True True True True
200 50 True True True True
295 150 False True False True
300 50 True True True True
500 500 True True True True
995 500 False True False True
1995 1000 False True False True
2000 500 True False True True
350 5 True True True True
350 20 True True True True
350 30 True True True True
350 45 True True True True
350 100 True True True True
350 125 True False False True
500 150 True True True True
350 200 True False False True
550 300 True False False True
550 325 True True True True
500 200 True True True True
350 150 True False False True
300 80 True True True True
300 100 True True True True
450 200 True True True True
500 225 True True True True
300 125 True True True True
300 175 True True True True
750 225 True True True True
750 250 True True True True
750 275 True True True True
750 300 True True True True
750 325 True True True True
750 350 True True True True
750 400 True True True True
750 425 True True True True
750 450 True True True True
1200 500 True True True True
1300 100 True True True True
1300 225 True True True True
1700 150 True True True True
1300 425 True False True True
1300 350 True False True True
1300 150 True True True True
1700 100 True True True True
1700 150 True True True True
1700 200 True True True True
1700 300 True True True True
1700 350 True True True True
1800 150 True True True True
1800 200 True True True True
1800 250 True True True True
1800 275 True True True True
1800 325 True True True True
1900 1 True True True True
1900 150 True True True True
1900 200 True True True True
2000 100 True True True True
2000 175 True True True True
2000 200 True True True True
1600 225 True True True True
1600 300 True True True True
1600 325 True True True True
1600 350 True True True True
1600 375 True True True True
1600 425 True True True True
1500 300 True True True True
1500 375 True False False True
1500 400 True True True True
2000 1 True True True True
